Number,Day,Minute,Path,Mother,Mother Genotype,Name,Sex,Offspring Genotype,Genogroup,Recording Number,Start Point (s),End Point (s),Start Point (time),End Point (time),Start Point (Hz),End Point (Hz),Duration (time),Duration (s),ISI_time,ISI,Syllable,Syllable number,Cat. Number,Classification date,Start Time,Time Course,# of Bursts,IBN,BurstDuration_t,BurstDuration,BurstInterval_t,BurstInterval,Unnamed: 33,Unnamed: 34
1,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_3,26598N-1741O,WT,17470O,F,WT,1.0,,,,,,,,,,,,,,,,12:21:42,,,,,,,,,
2,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.088414,0.14736,00:00:00.088000,00:00:00.147000,57648.8278,45525.082,01:24:52.934000,00:00:00.059000,,,Complex,3.0,1.0,2020-10-06,12:21:42,12:21:42.147000,1.0,1.0,1900-01-01 04:25:48.230000,00:00:01.185000,00:00:00,00:00:00,,
3,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.27279,0.33539,00:00:00.273000,00:00:00.335000,55558.5268,45525.082,01:30:08.640000,00:00:00.063000,03:00:37.152000,00:00:00.125000,Chevron,2.0,1.0,2020-10-06,,12:21:42.335000,1.0,2.0,,,,,1.0,Short
4,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.457,0.51987,00:00:00.457000,00:00:00.520000,54513.3763,43852.8412,01:30:31.968000,00:00:00.063000,02:55:07.104000,00:00:00.122000,Chevron,2.0,1.0,2020-10-06,,12:21:42.520000,1.0,3.0,,,,,2.0,Chevron
5,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.63737,0.69691,00:00:00.637000,00:00:00.697000,55976.587,43434.781,01:25:44.256000,00:00:00.060000,02:49:12,00:00:00.117000,Chevron,2.0,1.0,2020-10-06,,12:21:42.697000,1.0,4.0,,,,,3.0,Complex
6,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,0.83246,0.9081,00:00:00.832000,00:00:00.908000,59739.1288,53050.1656,01:48:55.296000,00:00:00.076000,03:15:11.520000,00:00:00.136000,Flat,4.0,1.0,2020-10-06,,12:21:42.908000,1.0,5.0,,,,,4.0,Flat
7,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,1.0379,1.0956,00:00:01.038000,00:00:01.096000,52423.0753,47824.4131,01:23:05.280000,00:00:00.058000,03:06:54.720000,00:00:00.130000,Composite,9.0,3.0,2020-10-06,,12:21:43.096000,1.0,6.0,,,,,5.0,"Down
ward"
8,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000001,1.2375,1.273,00:00:01.238000,00:00:01.273000,50332.7743,49705.684,00:51:07.200000,00:00:00.035000,03:24:20.160000,00:00:00.142000,Composite,9.0,3.0,2020-10-06,,12:21:43.273000,1.0,7.0,,,,,6.0,Upward
9,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.11691,0.17594,00:00:00.117000,00:00:00.176000,55140.4666,50959.8646,01:25:00.192000,00:00:00.059000,,,Composite,9.0,3.0,2020-10-06,12:21:44,12:21:44.176000,2.0,1.0,1900-01-01 14:52:21.216000,00:00:01.620000,17:26:52.800000,00:00:00.727000,7.0,Two-Syllable
10,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.32287,0.37934,00:00:00.323000,00:00:00.379000,60157.189,49914.7141,01:21:19.008000,00:00:00.056000,03:31:34.752000,00:00:00.147000,Downward,5.0,1.0,2020-10-06,,12:21:44.379000,2.0,2.0,,,,,8.0,Frequency Steps
11,4.0,1.0,C:\Users\ella9\Desktop\לימודים\מחקר מודרך\תוכנה\Young\2018\6598N-17411O\17470O\day_4,26598N-1741O,WT,17470O,F,WT,1.0,T0000002,0.50782,0.57017,00:00:00.508000,00:00:00.570000,60157.189,45525.082,01:29:47.040000,00:00:00.062000,03:05:00.672000,00:00:00.128000,Complex,3.0,1.0,2020-10-06,,12:21:44.570000,2.0,3.0,,,,,9.0,Composite
